teamId,passes_total,passes_accurate,long_balls,final_third_entries,box_entries,wide_actions,defensive_duels,high_press_actions,set_pieces,shots_total,goals,matches_played,avg_pass_distance_m,avg_forward_progress,league_code,pass_accuracy_pct,long_ball_pct,wide_action_pct,high_press_pct,passes_total_per_match,passes_accurate_per_match,long_balls_per_match,final_third_entries_per_match,box_entries_per_match,wide_actions_per_match,defensive_duels_per_match,high_press_actions_per_match,set_pieces_per_match,shots_total_per_match,goals_per_match
2481,12100,9334,2770,2017,893,8269,2204,666,1660,395,36,34,19.997081035653004,3.7421100935994294,Germany,77.14049586776859,22.892561983471076,68.33884297520662,30.217785843920147,355.88235294117646,274.52941176470586,81.47058823529412,59.3235294117647,26.264705882352942,243.2058823529412,64.82352941176471,19.58823529411765,48.8235294117647,11.617647058823529,1.0588235294117647
2482,15420,12895,2707,2066,996,9760,2416,726,1483,442,58,34,19.456662560597962,2.991599685295097,Germany,83.62516212710766,17.555123216601814,63.29442282749675,30.049668874172188,453.52941176470586,379.2647058823529,79.61764705882354,60.76470588235294,29.294117647058822,287.05882352941177,71.05882352941177,21.352941176470587,43.61764705882353,13.0,1.7058823529411764
2975,15826,12942,2474,2433,1052,11090,2114,730,1747,431,51,34,18.45197290472343,3.14720233670017,Germany,81.77682294957664,15.632503475293822,70.07456084923544,34.53169347209082,465.47058823529414,380.6470588235294,72.76470588235294,71.55882352941177,30.941176470588236,326.1764705882353,62.1764705882353,21.470588235294116,51.38235294117647,12.676470588235293,1.5
3157,19484,16822,3174,2638,1248,13488,2221,907,1759,558,48,38,19.14667857216958,2.4148124514053197,Italy,86.33750769862452,16.290289468281667,69.22603161568468,40.837460603331834,512.7368421052631,442.6842105263158,83.52631578947368,69.42105263157895,32.8421052631579,354.94736842105266,58.44736842105263,23.86842105263158,46.28947368421053,14.68421052631579,1.263157894736842
3158,19087,16127,3203,2742,1439,13056,2112,840,1793,597,51,38,19.501423963738116,2.694313007778051,Italy,84.49206266044952,16.781055168439252,68.40257767066589,39.77272727272727,502.2894736842105,424.39473684210526,84.28947368421052,72.15789473684211,37.86842105263158,343.57894736842104,55.578947368421055,22.105263157894736,47.18421052631579,15.710526315789474,1.3421052631578947
3159,21519,19025,3306,2543,1078,14486,2101,819,1545,481,72,38,19.152516935104725,2.1897579267749854,Italy,88.41024211162228,15.363167433430922,67.31725451926205,38.98143741075678,566.2894736842105,500.6578947368421,87.0,66.92105263157895,28.36842105263158,381.2105263157895,55.28947368421053,21.55263157894737,40.6578947368421,12.657894736842104,1.894736842105263
3161,20450,17553,2825,2516,1414,13617,2313,806,1682,536,56,38,18.627898111526356,2.4062464821154026,Italy,85.83374083129584,13.814180929095354,66.58679706601467,34.84651967142239,538.1578947368421,461.92105263157896,74.34210526315789,66.21052631578948,37.21052631578947,358.3421052631579,60.86842105263158,21.210526315789473,44.26315789473684,14.105263157894736,1.4736842105263157
3162,18116,15245,3048,2490,1242,12363,2443,837,1640,507,75,38,19.37485669747125,2.7598044465120055,Italy,84.15213071318172,16.824906160300287,68.24354162066682,34.26115431846091,476.7368421052632,401.1842105263158,80.21052631578948,65.52631578947368,32.68421052631579,325.3421052631579,64.28947368421052,22.026315789473685,43.1578947368421,13.342105263157896,1.9736842105263157
3163,14524,11808,2675,1965,894,9980,2589,777,1791,401,38,38,19.340310204790985,3.4210347174512457,Italy,81.29991737813275,18.41779124208207,68.7138529330763,30.011587485515644,382.2105263157895,310.7368421052632,70.39473684210526,51.71052631578947,23.526315789473685,262.63157894736844,68.13157894736842,20.44736842105263,47.13157894736842,10.552631578947368,1.0
3164,17832,15067,2681,2410,1098,11069,2241,865,1806,416,46,38,18.902747999120876,2.778712898203879,Italy,84.49416778824586,15.034768954688202,62.073799910273664,38.59883980365908,469.2631578947368,396.5,70.55263157894737,63.421052631578945,28.894736842105264,291.2894736842105,58.973684210526315,22.763157894736842,47.526315789473685,10.947368421052632,1.2105263157894737
3165,14516,11692,2787,2149,1007,9942,2405,740,1756,348,34,38,19.407653090147846,3.48835128710318,Italy,80.54560484982089,19.199503995591073,68.48994213281895,30.76923076923077,382.0,307.6842105263158,73.34210526315789,56.55263157894737,26.5,261.63157894736844,63.28947368421053,19.473684210526315,46.21052631578947,9.157894736842104,0.8947368421052632
3166,15157,12467,2770,2098,806,10658,2527,665,1817,298,30,38,19.170384435669934,3.3648447632713663,Italy,82.25242462228674,18.27538431087946,70.31734512106618,26.31578947368421,398.86842105263156,328.07894736842104,72.89473684210526,55.21052631578947,21.210526315789473,280.4736842105263,66.5,17.5,47.81578947368421,7.842105263157895,0.7894736842105263
3172,18632,15619,3157,2516,1273,13829,2636,874,1782,525,52,38,18.791750141366624,2.8776933659663073,Italy,83.8288965221125,16.943967367969083,74.22176899957064,33.15629742033384,490.3157894736842,411.0263157894737,83.07894736842105,66.21052631578948,33.5,363.92105263157896,69.36842105263158,23.0,46.89473684210526,13.81578947368421,1.368421052631579
3173,14094,11104,2747,2268,1006,9637,2598,864,1858,327,28,38,19.152166574025667,3.51377496267891,Italy,78.78529870867035,19.49056336029516,68.37661416205478,33.25635103926097,370.89473684210526,292.2105263157895,72.28947368421052,59.68421052631579,26.473684210526315,253.60526315789474,68.36842105263158,22.736842105263158,48.89473684210526,8.605263157894736,0.7368421052631579
3176,17148,14326,2814,2410,1140,11415,2894,945,1703,561,44,38,19.064097452577847,2.7705300429005035,Italy,83.54327035222767,16.41007697690693,66.56752974107768,32.65376641326883,451.2631578947368,377.0,74.05263157894737,63.421052631578945,30.0,300.39473684210526,76.15789473684211,24.86842105263158,44.81578947368421,14.763157894736842,1.1578947368421053
3185,15903,13213,2774,2017,931,11196,2394,837,1893,409,53,38,18.709077361994993,2.960551734444652,Italy,83.08495252468087,17.44324970131422,70.40181097906056,34.962406015037594,418.5,347.7105263157895,73.0,53.078947368421055,24.5,294.63157894736844,63.0,22.026315789473685,49.81578947368421,10.763157894736842,1.394736842105263
3187,26873,23696,3219,3658,1456,19052,2151,897,1681,605,63,38,18.18630416165656,2.054110569971101,Italy,88.17772485394262,11.978565846760688,70.89643880474826,41.701534170153415,707.1842105263158,623.578947368421,84.71052631578948,96.26315789473684,38.31578947368421,501.36842105263156,56.60526315789474,23.605263157894736,44.23684210526316,15.921052631578947,1.6578947368421053
3193,15242,12273,2737,2234,1027,10462,2591,780,1771,379,26,38,19.22093053781263,3.4520413712656306,Italy,80.5209290119407,17.956961028736387,68.63928618291563,30.104206869934387,401.10526315789474,322.9736842105263,72.02631578947368,58.78947368421053,27.026315789473685,275.3157894736842,68.1842105263158,20.526315789473685,46.60526315789474,9.973684210526315,0.6842105263157895
3194,13397,10596,2680,1804,795,9432,2389,670,1748,313,23,38,19.63182091176071,3.3582186928673186,Italy,79.09233410465029,20.004478614615213,70.40382175113832,28.045207199665136,352.55263157894734,278.8421052631579,70.52631578947368,47.473684210526315,20.92105263157895,248.21052631578948,62.86842105263158,17.63157894736842,46.0,8.236842105263158,0.6052631578947368
